ID,Modo,Ubicación/Plano,RSSI (dBm),Color,Fecha/Hora
1,Indoor,Mi Plano Real,-127,red,2026-04-17 10:58:39
2,Indoor,Mi Plano Real,-127,red,2026-04-17 10:58:39
3,Indoor,Mi Plano Real,-127,red,2026-04-17 10:58:40
4,Indoor,Mi Plano Real,-127,red,2026-04-17 10:58:41
